date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
23:27:42	7716/7716	---M--	200	added ('OK')	font/woff	etag:W/%221e24-3SOsD7CsRpsGJEhep41wD2NhQgM%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Caligraphic-Bold.woff	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Caligraphic-Bold.woff	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:42	12368/12368	---MCZ	200	added ('OK')	font/ttf	etag:W/%223050-j6tziha6j7fnACoHXwNqRVpFxug%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Caligraphic-Bold.ttf	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Caligraphic-Bold.ttf	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:42	6908/6908	---M--	200	added ('OK')	font/woff2	etag:W/%221afc-n4B34LOKKQzZt7E2sKwpyDdegaY%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Caligraphic-Regular.woff2	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Caligraphic-Regular.woff2	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:42	7656/7656	---M--	200	added ('OK')	font/woff	etag:W/%221de8-Gm85vXDJt0cTB431991hCPm604s%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Caligraphic-Regular.woff	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Caligraphic-Regular.woff	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:42	12344/12344	---MCZ	200	added ('OK')	font/ttf	etag:W/%223038-JvJqE+an0KabSPYqzTGoGWvOf24%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Caligraphic-Regular.ttf	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Caligraphic-Regular.ttf	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:43	11348/11348	---M--	200	added ('OK')	font/woff2	etag:W/%222c54-+Y+JJy7KEa5BdnLFmg+qaoiAWok%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Fraktur-Bold.woff2	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Fraktur-Bold.woff2	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:43	13296/13296	---M--	200	added ('OK')	font/woff	etag:W/%2233f0-W7r9UB8mIhlCavfyDBEDu0tzJZI%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Fraktur-Bold.woff	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Fraktur-Bold.woff	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:43	19584/19584	---MCZ	200	added ('OK')	font/ttf	etag:W/%224c80-TgjdADgxJOfNlpcMyw++NcnvqqM%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Fraktur-Bold.ttf	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Fraktur-Bold.ttf	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:43	3543015/3543015	---MC-	200	added ('OK')	application/javascript	date:Tue,%2016%20Dec%202025%2002:27:40%20GMT	https://saladofuturo.educacao.sp.gov.br/js/3085.a8d35952.js	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/saladofuturo.educacao.sp.gov.br/js/3085.a8d35952.js	(from https://saladofuturo.educacao.sp.gov.br/)
23:27:43	11316/11316	---M--	200	added ('OK')	font/woff2	etag:W/%222c34-pXZMbieE0CggwLkECJ8/rHmL5Po%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Fraktur-Regular.woff2	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Fraktur-Regular.woff2	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:44	13208/13208	---M--	200	added ('OK')	font/woff	etag:W/%223398-b3VjdjYPCBW0SGL1f3let8HNTbI%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Fraktur-Regular.woff	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Fraktur-Regular.woff	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:44	19572/19572	---MCZ	200	added ('OK')	font/ttf	etag:W/%224c74-F9tAiC3V8UBiXyjdlMQwReGJPpg%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Fraktur-Regular.ttf	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Fraktur-Regular.ttf	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:44	25324/25324	---M--	200	added ('OK')	font/woff2	etag:W/%2262ec-MQUKGxsSP7LFnK0fdLff+Q3rj84%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-Bold.woff2	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-Bold.woff2	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
23:27:44	29912/29912	---M--	200	added ('OK')	font/woff	etag:W/%2274d8-9po2JQ6ubooCFzqZCapihCi6IGA%22	https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-Bold.woff	C:/Users/Lucas/Documents/HTTrack%20sites/Sala%20do%20Futuro/cdn.jsdelivr.net/npm/katex@0.16.9/dist/fonts/KaTeX_Main-Bold.woff	(from https://cdn.jsdelivr.net/npm/katex@0.16.9/dist/katex.min.css)
